seconds, time, density, practical_salinity, seawater_temperature
3745671300.35, 16:15:00, 1034.769951, 34.516449, 2.436480
3745671301.36, 16:15:01, 1034.770135, 34.516639, 2.436426
3745671302.37, 16:15:02, 1034.769984, 34.516499, 2.436749
3745671303.39, 16:15:03, 1034.770019, 34.516613, 2.436965
3745671304.40, 16:15:04, 1034.770045, 34.516610, 2.436965
3745671305.41, 16:15:05, 1034.769261, 34.515708, 2.437557
3745671306.42, 16:15:06, 1034.769000, 34.515410, 2.437773
3745671307.44, 16:15:07, 1034.768736, 34.515092, 2.437881
3745671308.45, 16:15:08, 1034.768836, 34.515185, 2.437665
3745671309.46, 16:15:09, 1034.768782, 34.515117, 2.437665
3745671310.47, 16:15:10, 1034.768629, 34.514967, 2.437935
3745671311.49, 16:15:11, 1034.768763, 34.515163, 2.437881
3745671312.50, 16:15:12, 1034.769436, 34.515845, 2.437234
3745671313.51, 16:15:13, 1034.769691, 34.516162, 2.436749
3745671314.52, 16:15:14, 1034.769509, 34.515930, 2.436965
3745671315.54, 16:15:15, 1034.769456, 34.515862, 2.436965
3745671316.55, 16:15:16, 1034.769510, 34.515930, 2.436965
3745671317.56, 16:15:17, 1034.769039, 34.515393, 2.437342
3745671318.58, 16:15:18, 1034.769041, 34.515404, 2.437396
3745671319.59, 16:15:19, 1034.769041, 34.515404, 2.437396
3745671320.60, 16:15:20, 1034.768728, 34.515049, 2.437665
3745671321.61, 16:15:21, 1034.768576, 34.514899, 2.437935
3745671322.63, 16:15:22, 1034.768474, 34.514795, 2.438096
3745671323.64, 16:15:23, 1034.768472, 34.514784, 2.438042
3745671324.65, 16:15:24, 1034.769068, 34.515464, 2.437342
3745671325.66, 16:15:25, 1034.769531, 34.515906, 2.436857
3745671326.68, 16:15:26, 1034.769530, 34.515895, 2.436803
3745671327.69, 16:15:27, 1034.769558, 34.515966, 2.436803
3745671328.70, 16:15:28, 1034.769397, 34.515762, 2.436803
3745671329.71, 16:15:29, 1034.769476, 34.515827, 2.436803
3745671330.73, 16:15:30, 1034.769291, 34.515637, 2.436857
3745671331.74, 16:15:31, 1034.769608, 34.516013, 2.436695
3745671332.75, 16:15:32, 1034.769603, 34.515981, 2.436534
3745671333.76, 16:15:33, 1034.769811, 34.516210, 2.436318
